"Accession","GeneName","GeneID","Description","MissingFractionControl","MissingFractionAsphyxia"
"Q62426","Cstb","13014","Cystatin-B",0,0
"Q8CAY6","Acat2","110460","Acetyl-CoA acetyltransferase, cytosolic",0,0
"Q8R016","Blmh","104184","Bleomycin hydrolase",0,0
"Q9D1G1","Rab1b","76308","Ras-related protein Rab-1B",0,0
"Q9JII5","Dazap1","70248","DAZ-associated protein 1",0,0
"Q4KML4","Abracl","73112","Costars family protein ABRACL",0,0
"Q8JZQ9","Eif3b","27979","Eukaryotic translation initiation factor 3 subunit B",0,0
"Q9CQR2","Rps21","66481","Small ribosomal subunit protein eS21",0,0
"P62823","Rab3c","67295","Ras-related protein Rab-3C",0,0
"P62482","Kcnab2","16498","Voltage-gated potassium channel subunit beta-2",0,0
"Q8BGE6","Atg4b","66615","Cysteine protease ATG4B",0,0
"Q8R100","Calhm5","103511","Calcium homeostasis modulator protein 5",0.5,0.25
"Q52KI8","Srrm1","51796","Serine/arginine repetitive matrix protein 1",0,0
"P60335","Pcbp1","23983","Poly(rC)-binding protein 1",0,0
"Q8BYP3","Rhof","23912","Rho-related GTP-binding protein RhoF",0,0
"Q8BGQ7","Aars1","234734","Alanine--tRNA ligase, cytoplasmic",0,0
"Q62108","Dlg4","13385","Disks large homolog 4",0,0
"O55222","Ilk","16202","Scaffold protein ILK",0,0
"P30999","Ctnnd1","12388","Catenin delta-1",0,0
"Q921W0","Chmp1a","234852","Charged multivesicular body protein 1a",0,0
"O08579","Emd","13726","Emerin",0,0
"Q8BG39","Sv2b","64176","Synaptic vesicle glycoprotein 2B",0,0
"Q99K51","Pls3","102866","Plastin-3",0,0
"O55106","Strn","268980","Striatin",0,0
"O88291","Znf326","54367","DBIRD complex subunit ZNF326",0,0
"Q62203","Sf3a2","20222","Splicing factor 3A subunit 2",0,0
"Q8CGA4","Mturn","68235","Maturin",0,0
"Q91WE2","Psme3ip1","102122","PSME3-interacting protein",0,0
"Q9ERR1","Ndel1","83431","Nuclear distribution protein nudE-like 1",0,0
"P17225","Ptbp1","19205","Polypyrimidine tract-binding protein 1",0,0
"Q91Z31","Ptbp2","56195","Polypyrimidine tract-binding protein 2",0,0
"Q8BJH1","Zc2hc1a","67306","Zinc finger C2HC domain-containing protein 1A",0,0
"Q9D0I9","Rars1","104458","Arginine--tRNA ligase, cytoplasmic",0,0
"Q4ACU6","Shank3","58234","SH3 and multiple ankyrin repeat domains protein 3",0,0
"Q7TPR4","Actn1","109711","Alpha-actinin-1",0,0
"Q9CQI7","Snrpb2","20639","U2 small nuclear ribonucleoprotein B''",0,0
"Q9CYR6","Pgm3","109785","Phosphoacetylglucosamine mutase",0,0
"Q9DB34","Chmp2a","68953","Charged multivesicular body protein 2a",0,0
"Q8CI32","Bag5","70369","BAG family molecular chaperone regulator 5",0,0
"E9Q912","Rap1gds1","229877","Rap1 GTPase-GDP dissociation stimulator 1",0,0
"O09044","Snap23","20619","Synaptosomal-associated protein 23",0,0
"Q60854","Serpinb6","20719","Serpin B6",0,0
"Q5FWK3","Arhgap1","228359","Rho GTPase-activating protein 1",0,0
"P35283","Rab12","19328","Ras-related protein Rab-12",0,0
"Q501J2","Antkmt","214917","Adenine nucleotide translocase lysine N-methyltransferase",0,0
"P60060","Sec61g","20335","Protein transport protein Sec61 subunit gamma",0,0
"Q61990","Pcbp2","18521","Poly(rC)-binding protein 2",0,0
"P62869","Elob","67673","Elongin-B",0,0
"O55042","Snca","20617","Alpha-synuclein",0,0
"Q91ZZ3","Sncb","104069","Beta-synuclein",0,0
"Q9CWL8","Ctnnbl1","66642","Beta-catenin-like protein 1",0,0
"B9EJ86","Osbpl8","237542","Oxysterol-binding protein-related protein 8",0,0
"Q6PIP5","Nudcd1","67429","NudC domain-containing protein 1",0,0
"P61924","Copz1","56447","Coatomer subunit zeta-1",0,0
"Q6IFT4","Arhgap20","244867","Rho GTPase-activating protein 20",0,0.25
"P70697","Urod","22275","Uroporphyrinogen decarboxylase",0,0
"Q9CWE0","Mtfr1l","76824","Mitochondrial fission regulator 1-like",0,0
"O54818","Tpd52l1","21987","Tumor protein D53",0,0
"Q80UK0","Sestd1","228071","SEC14 domain and spectrin repeat-containing protein 1",0,0
"Q9JJ28","Flii","14248","Protein flightless-1 homolog",0,0
"Q9D1L9","Lamtor5","68576","Ragulator complex protein LAMTOR5",0,0
"O55137","Acot1","26897","Acyl-coenzyme A thioesterase 1",0,0
"P14148","Rpl7","19989","Large ribosomal subunit protein uL30",0,0
"P10711","Tcea1","21399","Transcription elongation factor A protein 1",0,0
"Q99LC8","Eif2b1","209354","Translation initiation factor eIF2B subunit alpha",0,0
"Q9JHG6","Rcan1","54720","Calcipressin-1",0,0
"Q99P72","Rtn4","68585","Reticulon-4",0,0
"Q9CQ71","Rpa3","68240","Replication protein A 14 kDa subunit",0,0
"Q9WTX8","Mad1l1","17120","Mitotic spindle assembly checkpoint protein MAD1",0,0
"Q9Z130","Hnrnpdl","50926","Heterogeneous nuclear ribonucleoprotein D-like",0,0
"Q921Q7","Rin1","225870","Ras and Rab interactor 1",0,0
"Q8CHG3","Gcc2","70297","GRIP and coiled-coil domain-containing protein 2",0,0
"Q8BIW1","Prune1","229589","Exopolyphosphatase PRUNE1",0,0
"Q8BFT9","Svop","68666","Synaptic vesicle 2-related protein",0,0
"Q9JIS5","Sv2a","64051","Synaptic vesicle glycoprotein 2A",0,0
"P54775","Psmc4","23996","26S proteasome regulatory subunit 6B",0,0
"O70566","Diaph2","54004","Protein diaphanous homolog 2",0,0
"P35922","Fmr1","14265","Fragile X messenger ribonucleoprotein 1",0,0
"Q8C7M3","Trim9","94090","E3 ubiquitin-protein ligase TRIM9",0,0
"Q9JJC6","Rilpl1","75695","RILP-like protein 1",0,0
"Q3V4B5","Commd6","66200","COMM domain-containing protein 6",0,0
"Q91ZT5","Fgd4","224014","FYVE, RhoGEF and PH domain-containing protein 4",0,0
"Q8CGU1","Calcoco1","67488","Calcium-binding and coiled-coil domain-containing protein 1",0,0
"Q8R0A5","Tceal3","594844","Transcription elongation factor A protein-like 3",0,0
"Q9JMF3","Gng13","64337","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13",0,0
"Q5SRX1","Tom1l2","216810","TOM1-like protein 2",0,0
"Q8K341","Atat1","73242","Alpha-tubulin N-acetyltransferase 1",0,0
"Q3TXX4","Slc17a7","72961","Vesicular glutamate transporter 1",0,0
"Q3UFK8","Frmd8","67457","FERM domain-containing protein 8",0,0
"Q8R238","Sdsl","257635","Serine dehydratase-like",0,0
"Q8C0L8","Cog5","238123","Conserved oligomeric Golgi complex subunit 5",0,0
"Q6P8X1","Snx6","72183","Sorting nexin-6",0,0
"O54916","Reps1","19707","RalBP1-associated Eps domain-containing protein 1",0,0
"Q3TXU5","Dhps","330817","Deoxyhypusine synthase",0,0
"Q8VCN9","Tbcc","72726","Tubulin-specific chaperone C",0,0
"Q5U4D9","Thoc6","386612","THO complex subunit 6 homolog",0,0
"Q99KC8","Vwa5a","67776","von Willebrand factor A domain-containing protein 5A",0,0
"Q99N57","Raf1","110157","RAF proto-oncogene serine/threonine-protein kinase",0,0
"P70202","Lxn","17035","Latexin",0,0
"O88809","Dcx","13193","Neuronal migration protein doublecortin",0,0
"Q9WV31","Arc","11838","Activity-regulated cytoskeleton-associated protein",0,0
"P61166","Tmem258","69038","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258",0,0
"Q58A65","Spag9","70834","C-Jun-amino-terminal kinase-interacting protein 4",0,0
"Q9QZB9","Dctn5","59288","Dynactin subunit 5",0,0
"Q8CAB8","Castor2","80909","Cytosolic arginine sensor for mTORC1 subunit 2",0,0
"Q8BGS2","Bola2","66162","BolA-like protein 2",0,0
"Q9DBY5","Cbx6","494448","Chromobox protein homolog 6",0,0.25
"P97433","Arhgef28","110596","Rho guanine nucleotide exchange factor 28",0,0
"Q9ERK4","Cse1l","110750","Exportin-2",0,0
"Q63829","Commd3","12238","COMM domain-containing protein 3",0,0
"P0C8B4","Gon7","100233175","EKC/KEOPS complex subunit GON7",0,0
"Q7TMF3","Ndufa12","66414","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12",0,0
"Q924C1","Xpo5","72322","Exportin-5",0,0
"Q8CGZ0","Cherp","27967","Calcium homeostasis endoplasmic reticulum protein",0,0
"O55143","Atp2a2","11938","Sarcoplasmic/endoplasmic reticulum calcium ATPase 2",0,0
"Q9CZ69","Cmtm6","67213","CKLF-like MARVEL transmembrane domain-containing protein 6",0,0
"Q9DCT1","Akr1e2","56043","1,5-anhydro-D-fructose reductase",0,0
"Q9CX86","Hnrnpa0","77134","Heterogeneous nuclear ribonucleoprotein A0",0,0
"Q3V0K9","Pls1","102502","Plastin-1",0,0
"Q8BNW9","Kbtbd11","74901","Kelch repeat and BTB domain-containing protein 11",0,0
"Q78JE5","Fbxo22","71999","F-box only protein 22",0,0
"Q8VI75","Ipo4","75751","Importin-4",0,0
"Q8C996","Tmem163","72160","Transmembrane protein 163",0,0
"Q8R0H9","Gga1","106039","ADP-ribosylation factor-binding protein GGA1",0,0
"Q91X96","Rabif","98710","Guanine nucleotide exchange factor MSS4",0,0
"P60898","Polr2i","69920","DNA-directed RNA polymerase II subunit RPB9",0,0
"Q9CZG3","Commd8","27784","COMM domain-containing protein 8",0,0
"Q5SSL4","Abr","109934","Active breakpoint cluster region-related protein",0,0
"Q9CQT7","Desi1","28075","Desumoylating isopeptidase 1",0,0
"P04627","Araf","11836","Serine/threonine-protein kinase A-Raf",0,0
"Q9Z1R2","Bag6","224727","Large proline-rich protein BAG6",0,0
"O08808","Diaph1","13367","Protein diaphanous homolog 1",0,0
"O35304","Slc18a3","20508","Vesicular acetylcholine transporter",0,0.25
"P49070","Camlg","12328","Guided entry of tail-anchored proteins factor CAMLG",0,0
"Q9R1J0","Nsdhl","18194","Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",0,0
"Q8C033","Arhgef10","234094","Rho guanine nucleotide exchange factor 10",0,0
"Q76LS9","Mindy1","75007","Ubiquitin carboxyl-terminal hydrolase MINDY-1",0,0
"A2APX8","Scn1a","20265","Sodium channel protein type 1 subunit alpha",0,0
"Q60864","Stip1","20867","Stress-induced-phosphoprotein 1",0,0
"Q62448","Eif4g2","13690","Eukaryotic translation initiation factor 4 gamma 2",0,0
"P61327","Magoh","17149","Protein mago nashi homolog",0,0
"P51791","Clcn3","12725","H(+)/Cl(-) exchange transporter 3",0,0
"Q3TES0","Iqsec3","243621","IQ motif and SEC7 domain-containing protein 3",0,0
