"FeatureKey","FeatureLabel","KEGGCompound","PathwayID","PathwayName"
"FT1114NR","Ectoine","C06231","mmu00260","Glycine, serine and threonine metabolism"
"FT6885PR","Cytidine 5'-monophosphate-N-acetylneuraminic acid","C00128","mmu00541","Biosynthesis of various nucleotide sugars"
"FT2169PR","DL-O-Phosphoserine","C01005","mmu00260","Glycine, serine and threonine metabolism"
"FT2169PR","DL-O-Phosphoserine","C01005","mmu00270","Cysteine and methionine metabolism"
"FT2169PR","DL-O-Phosphoserine","C01005","mmu00970","Aminoacyl-tRNA biosynthesis"
"FT1677PR","D-Glucurono-6,3-lactone","C02670","mmu00053","Ascorbate and aldarate metabolism"
"FT2350NR","Deoxycytidine","C00881","mmu00240","Pyrimidine metabolism"
"FT2350NR","Deoxycytidine","C00881","mmu02010","ABC transporters"
"FT1061PR","p-Octopamine","C04227","mmu04080","Neuroactive ligand-receptor interaction"
"FT3584PR","Argininosuccinic acid","C03406","mmu00220","Arginine biosynthesis"
"FT3584PR","Argininosuccinic acid","C03406","mmu00250","Alanine, aspartate and glutamate metabolism"
"FT2136PR","3-Hydroxy-N6,N6,N6-trimethyl-L-lysine","C01259","mmu00310","Lysine degradation"
"FT0901NR","Dihydroxyacetone phosphate","C00111","mmu00010","Glycolysis / Gluconeogenesis"
"FT0901NR","Dihydroxyacetone phosphate","C00111","mmu00040","Pentose and glucuronate interconversions"
"FT0901NR","Dihydroxyacetone phosphate","C00111","mmu00051","Fructose and mannose metabolism"
"FT0901NR","Dihydroxyacetone phosphate","C00111","mmu00052","Galactose metabolism"
"FT0901NR","Dihydroxyacetone phosphate","C00111","mmu00561","Glycerolipid metabolism"
"FT0901NR","Dihydroxyacetone phosphate","C00111","mmu00562","Inositol phosphate metabolism"
"FT0901NR","Dihydroxyacetone phosphate","C00111","mmu00564","Glycerophospholipid metabolism"
"FT0901NR","Dihydroxyacetone phosphate","C00111","mmu00630","Glyoxylate and dicarboxylate metabolism"
"FT0901NR","Dihydroxyacetone phosphate","C00111","mmu00640","Propanoate metabolism"
"FT0901NR","Dihydroxyacetone phosphate","C00111","mmu00760","Nicotinate and nicotinamide metabolism"
"FT0316NR","L-Valine","C00183","mmu00280","Valine, leucine and isoleucine degradation"
"FT0316NR","L-Valine","C00183","mmu00290","Valine, leucine and isoleucine biosynthesis"
"FT0316NR","L-Valine","C00183","mmu00770","Pantothenate and CoA biosynthesis"
"FT0316NR","L-Valine","C00183","mmu00970","Aminoacyl-tRNA biosynthesis"
"FT0316NR","L-Valine","C00183","mmu02010","ABC transporters"
"FT0316NR","L-Valine","C00183","mmu04974","Protein digestion and absorption"
"FT0316NR","L-Valine","C00183","mmu04978","Mineral absorption"
"FT0316NR","L-Valine","C00183","mmu05230","Central carbon metabolism in cancer"
"FT1507PR","L-Phenylalanine","C00079","mmu00360","Phenylalanine metabolism"
"FT1507PR","L-Phenylalanine","C00079","mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"FT1507PR","L-Phenylalanine","C00079","mmu00470","D-Amino acid metabolism"
"FT1507PR","L-Phenylalanine","C00079","mmu00970","Aminoacyl-tRNA biosynthesis"
"FT1507PR","L-Phenylalanine","C00079","mmu02010","ABC transporters"
"FT1507PR","L-Phenylalanine","C00079","mmu04974","Protein digestion and absorption"
"FT1507PR","L-Phenylalanine","C00079","mmu04978","Mineral absorption"
"FT1507PR","L-Phenylalanine","C00079","mmu05230","Central carbon metabolism in cancer"
"FT0017NR","Acrylic acid","C00511","mmu00640","Propanoate metabolism"
"FT0017NR","Acrylic acid","C00511","mmu00920","Sulfur metabolism"
"FT0293NR","Fumaric acid","C00122","mmu00020","Citrate cycle (TCA cycle)"
"FT0293NR","Fumaric acid","C00122","mmu00190","Oxidative phosphorylation"
"FT0293NR","Fumaric acid","C00122","mmu00220","Arginine biosynthesis"
"FT0293NR","Fumaric acid","C00122","mmu00250","Alanine, aspartate and glutamate metabolism"
"FT0293NR","Fumaric acid","C00122","mmu00350","Tyrosine metabolism"
"FT0293NR","Fumaric acid","C00122","mmu00360","Phenylalanine metabolism"
"FT0293NR","Fumaric acid","C00122","mmu00620","Pyruvate metabolism"
"FT0293NR","Fumaric acid","C00122","mmu00650","Butanoate metabolism"
"FT0293NR","Fumaric acid","C00122","mmu00760","Nicotinate and nicotinamide metabolism"
"FT0293NR","Fumaric acid","C00122","mmu04922","Glucagon signaling pathway"
"FT0293NR","Fumaric acid","C00122","mmu05200","Pathways in cancer"
"FT0293NR","Fumaric acid","C00122","mmu05211","Renal cell carcinoma"
"FT0293NR","Fumaric acid","C00122","mmu05230","Central carbon metabolism in cancer"
"FT4202NR","7-Hydroxy-6-methyl-8-ribityl lumazine","C05995","mmu00740","Riboflavin metabolism"
"FT4225PR","Dihydroceramide","C12126","mmu00600","Sphingolipid metabolism"
"FT4225PR","Dihydroceramide","C12126","mmu04071","Sphingolipid signaling pathway"
"FT2108PR","Spermine","C00750","mmu00330","Arginine and proline metabolism"
"FT2108PR","Spermine","C00750","mmu00410","beta-Alanine metabolism"
"FT2108PR","Spermine","C00750","mmu00480","Glutathione metabolism"
"FT2108PR","Spermine","C00750","mmu00770","Pantothenate and CoA biosynthesis"
"FT2108PR","Spermine","C00750","mmu04976","Bile secretion"
"FT5344NR","Chenodeoxycholic acid glycine conjugate","C05466","mmu00120","Primary bile acid biosynthesis"
"FT5344NR","Chenodeoxycholic acid glycine conjugate","C05466","mmu04976","Bile secretion"
"FT5344NR","Chenodeoxycholic acid glycine conjugate","C05466","mmu04979","Cholesterol metabolism"
"FT3744PR","Sphingosine","C00319","mmu00600","Sphingolipid metabolism"
"FT3744PR","Sphingosine","C00319","mmu04071","Sphingolipid signaling pathway"
"FT3744PR","Sphingosine","C00319","mmu04210","Apoptosis"
"FT3744PR","Sphingosine","C00319","mmu04217","Necroptosis"
"FT3028NR","D-ribulose-1,5-bisphosphate","C01182","mmu00030","Pentose phosphate pathway"
"FT3028NR","D-ribulose-1,5-bisphosphate","C01182","mmu00630","Glyoxylate and dicarboxylate metabolism"
"FT1009NR","N-Formyl-DL-methionine","C03145","mmu00270","Cysteine and methionine metabolism"
"FT0099NR","Dihydroxyacetone","C00184","mmu00561","Glycerolipid metabolism"
"FT1218PR","Spermidine","C00315","mmu00330","Arginine and proline metabolism"
"FT1218PR","Spermidine","C00315","mmu00410","beta-Alanine metabolism"
"FT1218PR","Spermidine","C00315","mmu00480","Glutathione metabolism"
"FT1218PR","Spermidine","C00315","mmu02010","ABC transporters"
"FT1218PR","Spermidine","C00315","mmu04976","Bile secretion"
"FT0962NR","N-Acetyl-L-aspartic acid","C01042","mmu00250","Alanine, aspartate and glutamate metabolism"
"FT0962NR","N-Acetyl-L-aspartic acid","C01042","mmu05215","Prostate cancer"
"FT6455NR","LysoPC(P-18:1/0:0)","C04230","mmu00564","Glycerophospholipid metabolism"
"FT6455NR","LysoPC(P-18:1/0:0)","C04230","mmu04148","Efferocytosis"
"FT6455NR","LysoPC(P-18:1/0:0)","C04230","mmu05231","Choline metabolism in cancer"
"FT1390NR","2-Oxo-3-hydroxy-4-phosphobutanoic acid","C06054","mmu00750","Vitamin B6 metabolism"
"FT4011NR","20alpha-Dihydroprogesterone","C04042","mmu00140","Steroid hormone biosynthesis"
"FT2360PR","N-Acetylserotonin","C00978","mmu00380","Tryptophan metabolism"
"FT2437NR","Pantetheine","C00831","mmu00770","Pantothenate and CoA biosynthesis"
